"RMA - Return Management","RMA - Gestión de Devoluciones"
"General","General"
"Enable RMA","Habilitar RMA"
"Enable or disable the RMA functionality.","Habilitar o deshabilitar la funcionalidad RMA."
"Increment ID Prefix","Prefijo ID Incremental"
"Prefix for the RMA increment ID (e.g. RMA-).","Prefijo para el ID incremental RMA (ej. RMA-)."
"Return Period (Days)","Período de Devolución (Días)"
"Number of days after order completion within which a return can be requested.","Número de días después de completar el pedido dentro de los cuales se puede solicitar una devolución."
"Policy","Política"
"Auto-Approve Returns","Aprobación Automática de Devoluciones"
"If enabled, new RMA requests will be automatically approved.","Si está habilitado, las nuevas solicitudes RMA se aprobarán automáticamente."
"Allowed Order Statuses","Estados de Pedido Permitidos"
"Only orders with these statuses can have a return request.","Solo los pedidos con estos estados pueden tener una solicitud de devolución."
"Email Notifications","Notificaciones por Email"
"Email Sender","Remitente de Email"
"New RMA Email Template (Customer)","Plantilla Email Nuevo RMA (Cliente)"
"Email sent to the customer when a new RMA is created.","Email enviado al cliente cuando se crea un nuevo RMA."
"Status Change Email Template (Customer)","Plantilla Email Cambio de Estado (Cliente)"
"Email sent to the customer when the RMA status changes.","Email enviado al cliente cuando el estado del RMA cambia."
"New RMA Email Template (Admin)","Plantilla Email Nuevo RMA (Admin)"
"Email sent to the admin when a new RMA is created.","Email enviado al admin cuando se crea un nuevo RMA."
"Admin Notification Email","Email de Notificación Admin"
"Email address to receive admin RMA notifications.","Dirección de email para recibir notificaciones admin de devoluciones."
"New RMA Request (Customer)","Nueva Solicitud RMA (Cliente)"
"RMA Status Change (Customer)","Cambio de Estado RMA (Cliente)"
"New RMA Request (Admin)","Nueva Solicitud RMA (Admin)"
"Your RMA Request #%increment_id from %store_name","Tu solicitud de devolución #%increment_id de %store_name"
"Update to your RMA Request #%increment_id from %store_name","Actualización de tu solicitud de devolución #%increment_id de %store_name"
"New RMA Request #%increment_id","Nueva solicitud de devolución #%increment_id"
"We have received your return request <strong>#%increment_id</strong> for order <strong>#%order_increment_id</strong>.","Hemos recibido tu solicitud de devolución <strong>#%increment_id</strong> para el pedido <strong>#%order_increment_id</strong>."
"We will review your request and get back to you as soon as possible.","Revisaremos tu solicitud y te responderemos lo antes posible."
"RMA Details","Detalles RMA"
"RMA Number:","Número RMA:"
"Order Number:","Número de Pedido:"
"Reason:","Motivo:"
"Resolution:","Resolución:"
"You can check the status of your return request by <a href=""%account_url"">logging into your account</a>.","Puedes consultar el estado de tu solicitud de devolución <a href=""%account_url"">iniciando sesión en tu cuenta</a>."
"If you have questions, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Si tienes preguntas, puedes escribirnos a <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","o llamarnos al <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Nuestro horario es <span class=""no-link"">%store_hours</span>."
"Your return request <strong>#%increment_id</strong> for order <strong>#%order_increment_id</strong> has been updated with a status of <strong>%status</strong>.","Tu solicitud de devolución <strong>#%increment_id</strong> para el pedido <strong>#%order_increment_id</strong> ha sido actualizada con el estado <strong>%status</strong>."
"A new return request <strong>#%increment_id</strong> has been submitted.","Una nueva solicitud de devolución <strong>#%increment_id</strong> ha sido enviada."
"Customer:","Cliente:"
"Store:","Tienda:"
"Store View Specific Labels","Etiquetas Específicas por Vista de Tienda"
"My Returns","Mis Devoluciones"
"Request Return","Solicitar Devolución"
"You have no return requests.","No tienes solicitudes de devolución."
"Return Information","Información de Devolución"
"Return Details","Detalles de Devolución"
"RMA #","RMA #"
"Order #","Pedido #"
"Status","Estado"
"Created At","Creado el"
"Updated At","Actualizado el"
"Action","Acción"
"View","Ver"
"Back","Volver"
"Back to My Returns","Volver a Mis Devoluciones"
"Order Information","Información del Pedido"
"Order","Pedido"
"Items to Return","Artículos a Devolver"
"Select","Seleccionar"
"Product","Producto"
"SKU","SKU"
"Quantity","Cantidad"
"Condition","Condición"
"Reason","Motivo"
"Preferred Resolution","Resolución Preferida"
"-- Select an order --","-- Seleccionar un pedido --"
"-- Select a reason --","-- Seleccionar un motivo --"
"-- Select a resolution --","-- Seleccionar una resolución --"
"-- Select --","-- Seleccionar --"
"Select an order to see available items.","Selecciona un pedido para ver los artículos disponibles."
"Loading items...","Cargando artículos..."
"No items available for return in this order.","No hay artículos disponibles para devolución en este pedido."
"An error occurred while loading order items.","Se produjo un error al cargar los artículos del pedido."
"Submit Return Request","Enviar Solicitud de Devolución"
"Please select an order.","Por favor selecciona un pedido."
"Please select at least one item to return.","Por favor selecciona al menos un artículo para devolver."
"The selected order does not exist.","El pedido seleccionado no existe."
"You are not authorized to create a return for this order.","No estás autorizado para crear una devolución para este pedido."
"This order is not eligible for a return.","Este pedido no es elegible para una devolución."
"Could not determine the initial RMA status.","No se pudo determinar el estado inicial del RMA."
"Your return request has been submitted successfully.","Tu solicitud de devolución ha sido enviada con éxito."
"Your return request #%1 has been submitted successfully.","Tu solicitud de devolución #%1 ha sido enviada con éxito."
"Something went wrong while submitting your return request.","Algo salió mal al enviar tu solicitud de devolución."
"This return request no longer exists.","Esta solicitud de devolución ya no existe."
"You are not authorized to view this return request.","No estás autorizado para ver esta solicitud de devolución."
"Invalid guest order session.","Sesión de pedido de invitado no válida."
"No order ID provided.","No se proporcionó ID de pedido."
"You are not authorized to access this order.","No estás autorizado para acceder a este pedido."
"Unknown Product","Producto Desconocido"
"N/A","N/D"
"max","máx"
"Guest","Invitado"
"Comments","Comentarios"
"No comments yet.","Aún no hay comentarios."
"No comments yet. Start the conversation!","Aún no hay comentarios. ¡Inicia la conversación!"
"Type your comment...","Escribe tu comentario..."
"Type your message...","Escribe tu mensaje..."
"Visible to Customer","Visible para el Cliente"
"Add Comment","Agregar Comentario"
"Send","Enviar"
"Internal Note","Nota Interna"
"Support","Soporte"
"Invalid request.","Solicitud no válida."
"RMA not found.","RMA no encontrado."
"Not authorized.","No autorizado."
"Could not save comment.","No se pudo guardar el comentario."
"Attachments","Archivos Adjuntos"
"Allowed File Extensions","Extensiones de Archivo Permitidas"
"Comma-separated list of allowed file extensions (e.g. jpg,png,pdf,mp4).","Lista de extensiones de archivo permitidas separadas por comas (ej. jpg,png,pdf,mp4)."
"Maximum File Size (MB)","Tamaño Máximo de Archivo (MB)"
"Maximum allowed file size in megabytes per single file.","Tamaño máximo permitido en megabytes por archivo."
"Maximum Files Per Upload","Número Máximo de Archivos por Carga"
"Maximum number of files allowed per RMA creation or comment.","Número máximo de archivos permitidos por creación de RMA o comentario."
"File not found.","Archivo no encontrado."
"Attachment not found.","Archivo adjunto no encontrado."
"Could not download the file.","No se pudo descargar el archivo."
"File cannot be saved to the temporary folder.","El archivo no se puede guardar en la carpeta temporal."
"File exceeds the maximum allowed size of %1 MB.","El archivo supera el tamaño máximo permitido de %1 MB."
"Drag & drop files here or click to browse","Arrastra los archivos aquí o haz clic para explorar"
"Drag & drop files or click to attach","Arrastra los archivos o haz clic para adjuntar"
"No attachments yet.","Aún no hay archivos adjuntos."
"File type not allowed.","Tipo de archivo no permitido."
"File exceeds the maximum allowed size.","El archivo supera el tamaño máximo permitido."
"Upload failed.","Error en la carga."
"Delete this attachment?","¿Eliminar este archivo adjunto?"
"File type not allowed: %1","Tipo de archivo no permitido: %1"
"File ""%1"" exceeds the maximum allowed size.","El archivo ""%1"" supera el tamaño máximo permitido."
"Maximum number of files reached (%1).","Número máximo de archivos alcanzado (%1)."
"Uploading %1...","Cargando %1..."
"Remove","Eliminar"
"Invalid attachment path.","Ruta de archivo adjunto no válida."
"Could not delete attachment.","No se pudo eliminar el archivo adjunto."
"This %1 no longer exists.","El elemento %1 ya no existe."
"You saved the %1.","Se guardó %1 correctamente."
"Something went wrong while saving the %1.","Algo salió mal al guardar %1."
"We can't find the %1 to delete.","No se encontró el elemento %1 para eliminar."
"You deleted the %1.","Se eliminó %1."
"Please correct the data sent.","Por favor corrija los datos enviados."
"A total of %1 record(s) have been deleted.","Se eliminaron %1 registro(s)."
"%1 status(es) are used by the system and cannot be deleted.","%1 estado(s) son utilizados por el sistema y no pueden ser eliminados."
"Unknown","Desconocido"
"Admin","Admin"
"Are you sure you want to delete this RMA request?","¿Estás seguro de que deseas eliminar esta solicitud RMA?"
"Are you sure you want to delete this status?","¿Estás seguro de que deseas eliminar este estado?"
"Comment text is required.","El texto del comentario es obligatorio."
"Customer","Cliente"
"Customer & Order","Cliente y Pedido"
"Delete","Eliminar"
"Delete status","Eliminar estado"
"Edit","Editar"
"Email","Email"
"Item does not belong to this RMA.","El artículo no pertenece a este RMA."
"Manage RMA Requests","Gestionar Solicitudes RMA"
"New RMA Request","Nueva Solicitud RMA"
"Order email does not match.","El email del pedido no coincide."
"Order Items","Artículos del Pedido"
"Order not found.","Pedido no encontrado."
"Order number, email and RMA ID are required.","Número de pedido, email e ID RMA son obligatorios."
"Product Name","Nombre del Producto"
"Purchased From","Comprado Desde"
"Qty Requested","Cantidad Solicitada"
"Requested Items","Artículos Solicitados"
"RMA","RMA"
"RMA ID is required.","El ID RMA es obligatorio."
"RMA Information","Información RMA"
"RMA Item Conditions","Condiciones de Artículo RMA"
"RMA Reasons","Motivos RMA"
"RMA Resolution Types","Tipos de Resolución RMA"
"RMA Statuses","Estados RMA"
"Save","Guardar"
"Something went wrong while saving the RMA request.","Algo salió mal al guardar la solicitud RMA."
"This RMA request no longer exists.","Esta solicitud RMA ya no existe."
"You are not authorized to comment on this return.","No estás autorizado para comentar en esta devolución."
"You are not authorized to view this return.","No estás autorizado para ver esta devolución."
"You deleted the RMA request.","La solicitud RMA ha sido eliminada."
"You saved the RMA request.","La solicitud RMA ha sido guardada."
"Active","Activo"
"Add New Item Condition","Agregar Nueva Condición de Artículo"
"Add New Reason","Agregar Nuevo Motivo"
"Add New Resolution Type","Agregar Nuevo Tipo de Resolución"
"Add New RMA Request","Agregar Nueva Solicitud RMA"
"Add New Status","Agregar Nuevo Estado"
