"RMA - Return Management","RMA - Gestion des Retours"
"General","Général"
"Enable RMA","Activer RMA"
"Enable or disable the RMA functionality.","Activer ou désactiver la fonctionnalité RMA."
"Increment ID Prefix","Préfixe ID Incrémental"
"Prefix for the RMA increment ID (e.g. RMA-).","Préfixe pour l'ID incrémental RMA (ex. RMA-)."
"Return Period (Days)","Période de Retour (Jours)"
"Number of days after order completion within which a return can be requested.","Nombre de jours après la finalisation de la commande pendant lesquels un retour peut être demandé."
"Policy","Politique"
"Auto-Approve Returns","Approbation Automatique des Retours"
"If enabled, new RMA requests will be automatically approved.","Si activé, les nouvelles demandes RMA seront automatiquement approuvées."
"Allowed Order Statuses","Statuts de Commande Autorisés"
"Only orders with these statuses can have a return request.","Seules les commandes avec ces statuts peuvent faire l'objet d'une demande de retour."
"Email Notifications","Notifications Email"
"Email Sender","Expéditeur Email"
"New RMA Email Template (Customer)","Modèle Email Nouveau RMA (Client)"
"Email sent to the customer when a new RMA is created.","Email envoyé au client lors de la création d'un nouveau RMA."
"Status Change Email Template (Customer)","Modèle Email Changement de Statut (Client)"
"Email sent to the customer when the RMA status changes.","Email envoyé au client lorsque le statut du RMA change."
"New RMA Email Template (Admin)","Modèle Email Nouveau RMA (Admin)"
"Email sent to the admin when a new RMA is created.","Email envoyé à l'admin lors de la création d'un nouveau RMA."
"Admin Notification Email","Email de Notification Admin"
"Email address to receive admin RMA notifications.","Adresse email pour recevoir les notifications admin des retours."
"New RMA Request (Customer)","Nouvelle Demande RMA (Client)"
"RMA Status Change (Customer)","Changement de Statut RMA (Client)"
"New RMA Request (Admin)","Nouvelle Demande RMA (Admin)"
"Your RMA Request #%increment_id from %store_name","Votre demande de retour #%increment_id de %store_name"
"Update to your RMA Request #%increment_id from %store_name","Mise à jour de votre demande de retour #%increment_id de %store_name"
"New RMA Request #%increment_id","Nouvelle demande de retour #%increment_id"
"We have received your return request <strong>#%increment_id</strong> for order <strong>#%order_increment_id</strong>.","Nous avons reçu votre demande de retour <strong>#%increment_id</strong> pour la commande <strong>#%order_increment_id</strong>."
"We will review your request and get back to you as soon as possible.","Nous examinerons votre demande et vous répondrons dans les meilleurs délais."
"RMA Details","Détails RMA"
"RMA Number:","Numéro RMA :"
"Order Number:","Numéro de Commande :"
"Reason:","Motif :"
"Resolution:","Résolution :"
"You can check the status of your return request by <a href=""%account_url"">logging into your account</a>.","Vous pouvez suivre le statut de votre demande de retour en <a href=""%account_url"">vous connectant à votre compte</a>."
"If you have questions, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Si vous avez des questions, vous pouvez nous écrire à <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","ou nous appeler au <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Nos horaires sont <span class=""no-link"">%store_hours</span>."
"Your return request <strong>#%increment_id</strong> for order <strong>#%order_increment_id</strong> has been updated with a status of <strong>%status</strong>.","Votre demande de retour <strong>#%increment_id</strong> pour la commande <strong>#%order_increment_id</strong> a été mise à jour avec le statut <strong>%status</strong>."
"A new return request <strong>#%increment_id</strong> has been submitted.","Une nouvelle demande de retour <strong>#%increment_id</strong> a été soumise."
"Customer:","Client :"
"Store:","Boutique :"
"Store View Specific Labels","Libellés Spécifiques par Vue Magasin"
"My Returns","Mes Retours"
"Request Return","Demander un Retour"
"You have no return requests.","Vous n'avez aucune demande de retour."
"Return Information","Informations de Retour"
"Return Details","Détails du Retour"
"RMA #","RMA #"
"Order #","Commande #"
"Status","Statut"
"Created At","Créé le"
"Updated At","Mis à jour le"
"Action","Action"
"View","Voir"
"Back","Retour"
"Back to My Returns","Retour à Mes Retours"
"Order Information","Informations de Commande"
"Order","Commande"
"Items to Return","Articles à Retourner"
"Select","Sélectionner"
"Product","Produit"
"SKU","SKU"
"Quantity","Quantité"
"Condition","État"
"Reason","Motif"
"Preferred Resolution","Résolution Souhaitée"
